Last,Brett,Kode,Art,Vernalisering,Antall planter,Når registrert, comment,,
2,2,2-02,Cardamine hirsuta,EV,1,1/15/2015,,,
2,2,2-02,Conyza canadensis,FV,1,7/17/2014,,,
2,2,2-02,Epilobium ciliatum,FV,1,6/12/2014,,,
2,2,2-02,Epilobium ciliatum,FV,6,7/17/2014,,,
2,2,2-02,Poa annua,FV,167,7/2/2014, NB! Tallet stemmer!,,
2,2,2-02,Poa annua,FV,1,5/13/2014,,,
2,2,2-02,Poa annua,FV,3,6/12/2014,,,
2,2,2-02,Poa annua,FV,110,7/17/2014,,,
2,2,2-02,Poa annua,EV,5,1/15/2015,,,
2,2,2-02,Sagina procumbens,FV,4,7/2/2014,,,
2,2,2-02,Sagina procumbens,FV,4,7/17/2014,,,
2,2,2-02,Sonchus oleraceus,FV,1,5/13/2014,,,
3,2,3-02,Cardamine hirsuta,FV,1,6/12/2014,,,
3,2,3-02,Epilobium ciliatum,FV,1,7/17/2014,,,
3,2,3-02,Juncus conglomeratus,FV,1,11/24/2014,,,
3,2,3-02,Persicaria laphatifolia ssp. lapathifolia,FV,1,5/13/2014,,,
3,2,3-02,Solanum tuberosum 'Amandine',EV,1,10/6/2015,Det som var satt til side for blomstring,,
4,2,4-02,Cardamine hirsuta,FV,1,7/17/2014,,,
4,2,4-02,Cerastium glomeratum,FV,1,7/2/2014,,,
4,2,4-02,Cerastium glomeratum,EV,1,1/15/2015,,,
4,2,4-02,Chenopodium album,FV,1,5/13/2014,,,
4,2,4-02,Portulaca oleracea ssp. sativa,FV,1,5/13/2014,,,
4,2,4-02,Sonchus oleraceus,FV,1,5/13/2014,,,
5,2,5-02,Poa annua,FV,3,7/17/2014,,,
6,2,6-02,Agrostis nebulosa,FV,22,5/13/2014,,,
6,2,6-02,Cardamine hirsuta,FV,1,5/13/2014,,,
6,2,6-02,Cardamine hirsuta,FV,2,6/12/2014,,,
6,2,6-02,Euphorbia chamaesyce,FV,1,6/12/2014,,,
6,2,6-02,Euphorbia maculata,FV,3,5/13/2014,,,
6,2,6-02,Euphorbia prostrata,FV,1,6/27/2014,,,
6,2,6-02,Poa annua,FV,1,7/17/2014,,,
7,2,7-02,Cardamine hirsuta,FV,2,7/18/2014,,,
7,2,7-02,Chenopodium album,FV,1,5/13/2014,,,
7,2,7-02,Conyza canadensis,FV,1,6/27/2014,,,
7,2,7-02,Echinochloa crus-galli,FV,15,4/29/2014,,,
7,2,7-02,Echinochloa crus-galli,FV,1,5/13/2014,,,
7,2,7-02,Echinochloa crus-galli,FV,1,6/12/2014,,,
7,2,7-02,Epilobium ciliatum,FV,2,7/17/2014,,,
7,2,7-02,Epilobium roseum,FV,1,6/12/2014,,,
7,2,7-02,Geranium pusilllum,FV,2,5/13/2014,,,
7,2,7-02,Juncus compressus,FV,1,7/17/2014,,,
7,2,7-02,Stellaria media,FV,1,5/13/2014,,,
7,2,7-02,Stellaria media,FV,1,6/12/2014,,,
7,2,7-02,Stellaria media,EV,1,1/15/2015,,,
8,2,8-02,Betula pendula,FV,1,7/2/2014,,,
8,2,8-02,Chenopodium album,FV,17,4/29/2014,,,
8,2,8-02,Poa annua,FV,34,5/13/2014,,,
8,2,8-02,Poa annua,FV,1,6/12/2014,,,
8,2,8-02,Poa annua,FV,5,6/12/2014,,,
8,2,8-02,Poa annua,FV,4,7/2/2014,,,
8,2,8-02,Poa annua,FV,3,7/17/2014,,,
8,2,8-02,Poa annua,EV,2,1/15/2015,,,
8,2,8-02,Stellaria media,FV,1,6/12/2014,,,
8,2,8-02,Stellaria media,FV,9,7/2/2014,,,
8,2,8-02,Stellaria media,EV,1,1/15/2015,,,
9,2,9-02,Cardamine hirsuta,FV,1,7/17/2014,,,
9,2,9-02,Stellaria media,FV,1,6/12/2014,,,
9,2,9-02,Stellaria media,FV,3,7/2/2014,,,
9,2,9-02,Stellaria media,FV,1,7/17/2014,,,
11,2,11-02,Erysimum cheiranthoides,FV,1,6/12/2014,,,
11,2,11-02,Platanus x acerifolia,FV,1,11/24/2014,,,
11,2,11-02,Solanum tuberosum 'Amandine',EV,1,10/6/2015,Det som var satt til side for blomstring,,
12,2,12-02,Cardamine hirsuta,FV,9,7/2/2014,,,
12,2,12-02,Cardamine hirsuta,FV,37,7/17/2014,,,
12,2,12-02,Euphorbia prostrata,FV,1,6/27/2014,,,
12,2,12-02,Sagina procumbens,EV,3,1/15/2015,,,
13,2,13-02,Arabis thaliana,EV,6,1/15/2015,,,
13,2,13-02,Cardamine hirsuta,FV,1,6/12/2014,,,
13,2,13-02,Cardamine hirsuta,FV,2,7/17/2014,,,
13,2,13-02,Chenopodium album,FV,1,6/12/2014,,,
13,2,13-02,Epilobium ciliatum,FV,1,7/17/2014,,,
13,2,13-02,Gnaphalium uliginosum ,FV,1,7/17/2014,,,
13,2,13-02,Oxalis corniculata,EV,1,1/15/2015,,,
13,2,13-02,Poa annua,FV,5,6/12/2014,,,
13,2,13-02,Poa annua,FV,3,6/27/2014,,,
13,2,13-02,Poa annua,FV,4,7/17/2014,,,
13,2,13-02,Rorippa palustris,FV,2,6/27/2014,,,
13,2,13-02,Rorippa palustris,FV,1,7/17/2014,,,
13,2,13-02,Solanum nigrum ssp.  nigrum,FV,7,6/12/2014,,,
13,2,13-02,Veronica peregrina,FV,1,6/12/2014,,,
13,2,13-02,Veronica peregrina,FV,1,6/27/2014,,,
13,2,13-02,Veronica peregrina,FV,1,7/17/2014,,,
14,2,14-02,Betula pendula,FV,1,6/12/2014,,,
14,2,14-02,Cardamine hirsuta,FV,11,6/12/2014,,,
14,2,14-02,Cardamine hirsuta,EV,1,1/15/2015,,,
14,2,14-02,Epilobium ciliatum ,FV,1,6/12/2014,,,
15,2,15-02,Cardamine hirsuta,FV,10,6/12/2014,,,
15,2,15-02,Cardamine hirsuta,FV,1,6/27/2014,,,
15,2,15-02,Cardamine hirsuta,FV,3,7/17/2014,,,
15,2,15-02,Oxalis corniculata,FV,2,7/17/2014,,,
16,2,16-02,Chenopodium album,EV,1,1/15/2015,,,
18,2,18-02,Cardamine hirsuta,FV,40,6/12/2014,,,
18,2,18-02,Cardamine hirsuta,FV,4,6/27/2014,,,
18,2,18-02,Cardamine hirsuta,FV,4,7/2/2014,,,
18,2,18-02,Cardamine hirsuta,FV,3,7/17/2014,,,
18,2,18-02,Cardamine hirsuta,EV,2,1/15/2015,,,
18,2,18-02,Cerastium glomeratum,FV,1,7/2/2014,,,
18,2,18-02,Cerastium glomeratum,FV,2,7/17/2014,,,
18,2,18-02,Epilobium ciliatum,FV,1,7/17/2014,,,
18,2,18-02,Sagina procumbens,FV,1,6/12/2014,,,
18,2,18-02,Sagina procumbens,FV,2,7/17/2014,,,
18,2,18-02,Senecio vulgaris,FV,2,6/12/2014,,,
18,2,18-02,Sonchus oleraceus,FV,1,6/12/2014,,,
20,2,20-02,Capsella bursa-pastoris,FV,11,6/12/2014,,,
20,2,20-02,Chenopodium album,FV,7,6/12/2014,,,
20,2,20-02,Erysimum cheiranthoides,EV,1,1/15/2015,,,
20,2,20-02,Geranium pusilllum,FV,2,6/27/2014,,,
20,2,20-02,Persicaria laphatifolia ssp. pallida,FV,1,6/12/2014,,,
20,2,20-02,Solanum nigrum ssp.  nigrum,FV,10,6/12/2014,,,
21,2,21-02,Arabis thaliana,EV,2,1/15/2015,,,
21,2,21-02,Cardamine hirsuta,FV,2,6/12/2014,,,
21,2,21-02,Cardamine hirsuta,FV,1,6/27/2014,,,
21,2,21-02,Cardamine hirsuta,FV,3,7/17/2014,,,
21,2,21-02,Cardamine hirsuta,EV,8,1/15/2015,,,
21,2,21-02,Poa annua,FV,1,6/12/2014,,,
21,2,21-02,Poa annua,FV,1,7/17/2014,,,
21,2,21-02,Rorippa palustris,FV,9,6/27/2014,,,
21,2,21-02,Senecio vulgaris,FV,1,6/12/2014,,,
21,2,21-02,Stellaria media,FV,1,6/12/2014,,,
22,2,22-02,Amaranthus cf. hybridus,FV,1,7/18/2014,,,
22,2,22-02,Amaranthus cf. hybridus,FV,1,9/5/2014,,,
22,2,22-02,Cardamine hirsuta,FV,4,6/27/2014,,,
22,2,22-02,Cardamine hirsuta,FV,1,7/2/2014,,,
