Taxa,62-01,62-02,62-03,62-04,62-05,62-06,62-07,62-08,62-09,62-10,63-01,63-02,63-03,63-04,63-05,63-06,63-07,63-08,63-09,63-10,64-01,64-02,64-03,64-04,64-05,64-06,64-07,64-08,64-09,64-10,65-01,65-02,65-03,65-04,65-05,65-06,65-07,65-08,65-09,65-10,66-01,66-02,66-03,66-04,66-05,66-06,66-07,66-08,66-09,66-10,67-01,67-02,67-03,67-04,67-05,67-06,67-07,67-08,67-09,67-10,68-01,68-02,68-03,68-04,68-05,68-06,68-07,68-08,68-09,68-10,69-01,69-02,69-03,69-04,69-05,69-06,69-07,69-08,69-09,69-10,70-01,70-02,70-03,70-04,70-05,70-06,70-07,70-08,70-09,70-10,71-01,71-02,71-03,71-04,71-05,71-06,71-07,71-08,71-09,71-10,72-01,72-02,72-03,72-04,72-05,72-06,72-07,72-08,72-09,72-10,73-01,73-02,73-03,73-04,73-05,73-06,73-07,73-08,73-09,73-10,74-01,74-02,74-03,74-04,74-05,74-06,74-07,74-08,74-09,74-10,75-01,75-02,75-03,75-04,75-05,75-06,75-07,75-08,75-09,75-10,76-01,76-02,76-03,76-04,76-05,76-06,76-07,76-08,76-09,76-10,77-01,77-02,77-03,77-04,77-05,77-06,77-07,77-08,77-09,77-10,78-01,78-02,78-03,78-04,78-05,78-06,78-07,78-08,78-09,78-10,79-01,79-02,79-03,79-04,79-05,79-06,79-07,79-08,79-09,79-10,80-01,80-02,80-03,80-04,80-05,80-06,80-07,80-08,80-09,80-10,81-01,81-02,81-03,81-04,81-05,81-06,81-07,81-08,81-09,81-10,82-01,82-02,82-03,82-04,82-05,82-06,82-07,82-08,82-09,82-10,83-01,83-02,83-03,83-04,83-05,83-06,83-07,83-08,83-09,83-10,84-01,84-02,84-03,84-04,84-05,84-06,84-07,84-08,84-09,84-10,85-01,85-02,85-03,85-04,85-05,85-06,85-07,85-08,85-09,85-10,86-01,86-02,86-03,86-04,86-05,86-06,86-07,86-08,86-09,86-10,87-01,87-02,87-03,87-04,87-05,87-06,87-07,87-08,87-09,87-10
Aucheorrhyncha spp. juv.,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temnothorax nylanderi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Temnothorax sp.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasius niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linepithema humile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoponera sp.,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parasitica spp.,,,,,1,,,,,,,,,,,,,,,,,1,1,1,2,,2,1,1,,,,,,,,,,,,,,,1,,,,,,,37,19,,1,,,3,,7,1,,1,2,,,,,,1,,,,,,1,,1,1,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,2,1,,3,5,,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,1,,,,,,,,,,,1,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,1,17,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,1,,,,,,,,,,
Symphyta spp. juv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
Lepidoptera spp. juv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidoptera spp.,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Neuroptera spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psocoptera spp.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thysanoptera spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,1,,
Thysanoptera spp. juv.,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,197,,,,,,,,,,,,,,3,,
Chilopoda spp.,,,,,,,,,,,,,,5,,,,1,1,1,,,,4,1,,10,7,,,,,,1,,,,2,,,,1,,1,2,,,,,,,1,6,,,3,,3,,5,1,,,,,,,,,,3,5,,,13,5,2,,,,1,,,,1,,,,,,2,1,1,,,,1,1,,,,,,,2,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,1,1,,,,,,,2,1,3,,,,,,,,,,,4,,,,,,,2,5,3,,,,,,,1,10,1,2,4,2,,5,,,1,9,1,,,4,1,,,,,1,,,,,,,,,1,,
Diplopoda spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,1,,1,,16,,,,,,,,,,,,4,,,3,,,,,,1,,,,1,,,,,,,,,,1,,,,,1,6,,,2,,,,,2,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,1
Oxidus gracilus,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastropoda spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Nematoda spp.,,,,,,,,,,,,,,,1,,,3,,4,,,,,,,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,4,,,,,,,,,,,,,,,,,6,1,,,,20,4,,,2,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,2,,2,,,,,6,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,1,48,,7,1,,2,,3,,,,,,,1,,,,,,,,1,,,2,,
